Title,Location,Price,Area,Room,Brokerage Firm,Brokerage Firm link
Apartment Hazenstraat,            1016 SN Amsterdam (Jordaan)        ,"                €2,100 per month            ",72 m²,3 rooms,Heeren Makelaars B.V. ,https://www.pararius.com/real-estate-agents/amsterdam/heeren-makelaars-b-v
Apartment Talbotstraat 209,            1087 DM Amsterdam (IJburg West)        ,"                €1,950 per month            ",101 m²,3 rooms,JLG Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/jlg-real-estate
Apartment Leonardostraat 6 I,            1077 EV Amsterdam (Apollobuurt)        ,"                €4,900 per month            ",185 m²,6 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
Apartment Taksteeg,            1012 PB Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,950 per month            ",75 m²,2 rooms,City Homes ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-city-homes
Apartment Damstraat 1 B,            1012 JL Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,500 per month            ",80 m²,3 rooms,De Run Trading B.V. ,https://www.pararius.com/real-estate-agents/veldhoven/de-run-trading-b-v
Apartment Eef Kamerbeekstraat,            1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,425 per month            ",51 m²,2 rooms,Lemoo ,https://www.pararius.com/real-estate-agents/utrecht/lemoo
Apartment Roerstraat,            1078 LL Amsterdam (Scheldebuurt)        ,"                €3,250 per month            ",116 m²,6 rooms,Finsens Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/finsens-makelaardij
Apartment Westerstraat 146 D,            1015 MP Amsterdam (Jordaan)        ,"                €1,895 per month            ",55 m²,3 rooms,Amsterdam Wonen ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-wonen-2
Apartment Ceintuurbaan,            1072 ET Amsterdam (Oude Pijp)        ,"                €1,700 per month            ",49 m²,2 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
Apartment Roelof Hartplein 21 2,            1071 TS Amsterdam (Museumkwartier)        ,"                €2,450 per month            ",69 m²,3 rooms,Huizenbalie.nl ,https://www.pararius.com/real-estate-agents/tilburg/huizenbalie-nl
Apartment Cornelis Trooststraat 30 1,            1072 JG Amsterdam (Nieuwe Pijp)        ,"                €2,000 per month            ",47 m²,3 rooms,Huizenbalie.nl ,https://www.pararius.com/real-estate-agents/tilburg/huizenbalie-nl
Apartment Vechtstraat,            1079 JV Amsterdam (Rijnbuurt)        ,"                €1,750 per month            ",58 m²,3 rooms,Michiel Stolker Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/michiel-stolker-real-estate
Apartment Nieuwezijds Voorburgwal,            1012 RS Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,650 per month            ",90 m²,4 rooms,Relocation-Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/relocation-amsterdam
Apartment Rooseveltlaan 96 1,            1078 NN Amsterdam (Scheldebuurt)        ,"                €2,650 per month            ",110 m²,4 rooms,Koops Makelaardij Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/koops-makelaardij-amsterdam
Apartment Churchill-laan,            1078 EK Amsterdam (IJselbuurt)        ,"                €2,950 per month            ",111 m²,5 rooms,Inxxx Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/inxxx-rentals
Apartment Kuipersstraat 169,            1073 ER Amsterdam (Nieuwe Pijp)        ,"                €2,500 per month            ",76 m²,3 rooms,020-Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/020-makelaars-amsterdam
Apartment Marcantilaan 331,            1051 NH Amsterdam (Centrale Markt)        ,"                €1,650 per month            ",41 m²,2 rooms,Renthouse Vastgoed ,https://www.pararius.com/real-estate-agents/amsterdam/renthouse-vastgoed
Apartment Rapenburgerstraat,            1011 VM Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,850 per month            ",110 m²,3 rooms,Compass Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/compass-housing-amsterdam
Apartment Gerard Doustraat,            1072 VK Amsterdam (Oude Pijp)        ,"                €1,975 per month            ",67 m²,2 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Emmastraat,            1071 JA Amsterdam (Museumkwartier)        ,"                €8,750 per month            ",225 m²,5 rooms,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Cornelis Schuytstraat,            1071 JH Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",140 m²,3 rooms,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Haarlemmerplein,            1013 HP Amsterdam (Haarlemmerbuurt)        ,"                €1,850 per month            ",60 m²,2 rooms,Prestige Housing ,https://www.pararius.com/real-estate-agents/amsterdam/prestige-housing
Apartment Plantage Parklaan 5 hs,            1018 SP Amsterdam (Weesperbuurt/Plantage)        ,"                €2,900 per month            ",125 m²,4 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
Apartment Oudezijds Voorburgwal 69 D,            1012 EK Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,000 per month            ",55 m²,3 rooms,EHR Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/ehr-amsterdam-2
Apartment Krooswijkhof 79,            1082 PB Amsterdam (Buitenveldert-Oost)        ,"                €4,000 per month            ",129 m²,6 rooms,21 Zuid Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/21-zuid-makelaardij
Apartment Prinsengracht 311 B,            1016 GX Amsterdam (Grachtengordel-West)        ,"                €2,000 per month            ",60 m²,2 rooms,Dutch Housing Centre BV ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-housing-centre-bv
Apartment Lia Doranastraat 29,            1031 HK Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,638 per month            ",86 m²,3 rooms,FRIS Vastgoed Management ,https://www.pararius.com/real-estate-agents/amsterdam/fris-vastgoed-management-amsterdam
Apartment Wethouder Frankeweg,            1098 KV Amsterdam (Middenmeer)        ,"                €3,500 per month            ",150 m²,5 rooms,Lens Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/lens-real-estate
Apartment Pieter van der Doesstraat,            1056 VK Amsterdam (Geuzenbuurt)        ,"                €2,900 per month            ",90 m²,5 rooms,City Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/city-housing-amsterdam
Apartment Havikshorst,            1083 TW Amsterdam (Buitenveldert-Oost)        ,"                €1,770 per month            ",45 m²,2 rooms,BorgerSmith makelaars & taxateurs ,https://www.pararius.com/real-estate-agents/amstelveen/borgersmith-makelaars-taxateurs
Apartment Bolestein 364,            1081 EE Amsterdam (Buitenveldert-West)        ,"                €1,800 per month            ",93 m²,3 rooms,Koops Makelaardij Amstelveen ,https://www.pararius.com/real-estate-agents/amstelveen/koops-makelaardij-amstelveen
Apartment Dam,            1012 JS Amsterdam (Burgwallen-Oude Zijde)        ,"                €5,500 per month            ",125 m²,3 rooms,Out Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/out-amsterdam
Apartment Albert Cuypstraat,            1073 BR Amsterdam (Oude Pijp)        ,"                €2,150 per month            ",90 m²,3 rooms,Rosmuller Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/rosmuller-makelaars
Apartment Eerste Goudsbloemdwarsstraat 2 B,            1015 JW Amsterdam (Jordaan)        ,"                €1,200 per month            ",30 m²,1 room,Yourhome Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/yourhome-makelaars
Apartment Hertingenstraat,            1069 HB Amsterdam (Osdorp-Midden)        ,"                €1,800 per month            ",73 m²,3 rooms,Amstel Housing Amsterdam ,https://www.pararius.com/real-estate-agents/amstelveen/amstel-housing-amsterdam
Apartment Bolestein 364,            1081 EE Amsterdam (Buitenveldert-West)        ,"                €1,800 per month            ",93 m²,3 rooms,Renthouse Vastgoed ,https://www.pararius.com/real-estate-agents/amsterdam/renthouse-vastgoed
Apartment Memeleiland,            1014 ZL Amsterdam (Houthavens)        ,"                €2,100 per month            ",76 m²,3 rooms,Koops Makelaardij Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/koops-makelaardij-amsterdam-2
Apartment Louis Davidsstraat,            1068 SH Amsterdam (Osdorp-Oost)        ,"                €1,650 per month            ",65 m²,3 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Planciusstraat,            1013 MD Amsterdam (Haarlemmerbuurt)        ,"                €2,450 per month            ",100 m²,4 rooms,Inter Immo Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/inter-immo-amsterdam
Apartment Tweede Jan Steenstraat,            1074 CS Amsterdam (Oude Pijp)        ,"                €2,150 per month            ",81 m²,3 rooms,PB Makelaars o.z. ,https://www.pararius.com/real-estate-agents/amsterdam/pb-makelaars-o-z
Apartment Laurierstraat,            1016 PJ Amsterdam (Jordaan)        ,"                €2,500 per month            ",78 m²,2 rooms,Dutch Renting ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-renting
Apartment Goudsbloemstraat,            1015 JR Amsterdam (Jordaan)        ,"                €1,850 per month            ",50 m²,2 rooms,Nieuw Amsterdams Huys ,https://www.pararius.com/real-estate-agents/amsterdam/nieuw-amsterdams-huys
Apartment Merwedeplein,            1078 NG Amsterdam (Scheldebuurt)        ,"                €1,950 per month            ",84 m²,4 rooms,Tolsma Vastgoed Beheer ,https://www.pararius.com/real-estate-agents/amsterdam/tolsma-vastgoed-beheer
Apartment Badhuiskade 39 B,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €3,000 per month            ",128 m²,3 rooms,Listings ,https://www.pararius.com/real-estate-agents/amsterdam/listings
Apartment Lindengracht,            1015 KK Amsterdam (Jordaan)        ,"                €2,950 per month            ",81 m²,3 rooms,Finsens Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/finsens-makelaardij
Apartment Weteringschans,            1017 RX Amsterdam (De Weteringschans)        ,"                €2,150 per month            ",70 m²,2 rooms,Relocation-Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/relocation-amsterdam
Apartment Van der Palmkade 136,            1051 RH Amsterdam (Staatsliedenbuurt)        ,"                €2,795 per month            ",119 m²,4 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Eerste Helmersstraat,            1054 DW Amsterdam (Helmersbuurt)        ,"                €3,200 per month            ",134 m²,6 rooms,Makelaarskantoor Babs Persoons B.V. ,https://www.pararius.com/real-estate-agents/amsterdam/makelaarskantoor-babs-persoons-b-v
Apartment De Lairessestraat 121 II R,            1075 HH Amsterdam (Willemspark)        ,"                €3,500 per month            ",140 m²,4 rooms,Makelaarskantoor Carla van den Brink ,https://www.pararius.com/real-estate-agents/amsterdam/makelaarskantoor-carla-van-den-brink
Apartment Nieuwe Prinsengracht,            1018 VX Amsterdam (Weesperbuurt/Plantage)        ,"                €2,250 per month            ",80 m²,2 rooms,PB Makelaars o.z. ,https://www.pararius.com/real-estate-agents/amsterdam/pb-makelaars-o-z
Apartment Bloemgracht 122 BV,            1015 TP Amsterdam (Jordaan)        ,"                €3,750 per month            ",119 m²,5 rooms,De Graaf & Groot Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/de-graaf-groot-makelaars
Apartment Johannes Verhulststraat 170 II,            1075 HC Amsterdam (Willemspark)        ,"                €7,250 per month            ",223 m²,7 rooms,Broersma Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij
Apartment Maasstraat 87 1,            1078 HG Amsterdam (Scheldebuurt)        ,"                €2,450 per month            ",67 m²,2 rooms,21 Zuid Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/21-zuid-makelaardij
Apartment Termini 55,            1025 XM Amsterdam (Buikslotermeer)        ,"                €1,255 per month            ",54 m²,3 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Pieter Jacobszstraat,            1012 HL Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",60 m²,2 rooms,By Ruth ,https://www.pararius.com/real-estate-agents/amsterdam/by-ruth
House Wierdestraat 8,            1069 VW Amsterdam (De Punt)        ,"                €2,800 per month            ",114 m²,5 rooms,MOESGOED Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/moesgoed-makelaars
Apartment Haarlemmerweg 348,            1014 BL Amsterdam (Sloterdijk)        ,"                €1,350 per month            ",33 m²,1 room,+31 Vastgoed ,https://www.pararius.com/real-estate-agents/amsterdam/31-vastgoed
Apartment Langestraat,            1015 AM Amsterdam (Grachtengordel-West)        ,"                €2,000 per month            ",55 m²,2 rooms,Amstel Vastgoed ,https://www.pararius.com/real-estate-agents/amsterdam/amstel-vastgoed
Apartment Derde Egelantiersdwarsstraat,            1015 SE Amsterdam (Jordaan)        ,"                €1,550 per month            ",45 m²,3 rooms,Amstel Vastgoed ,https://www.pararius.com/real-estate-agents/amsterdam/amstel-vastgoed
Apartment Termini 461,            1025 XM Amsterdam (Buikslotermeer)        ,"                €1,620 per month            ",77 m²,3 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Faas Wilkesstraat 181 F,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,595 per month            ",81 m²,3 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Faas Wilkesstraat 177 A,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,350 per month            ",70 m²,2 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Termini 419,            1025 XM Amsterdam (Buikslotermeer)        ,"                €1,420 per month            ",69 m²,3 rooms,LIV Residential ,https://www.pararius.com/real-estate-agents/amsterdam/liv-residential-amsterdam-4
Apartment Emmalaan 19 C,            1075 AT Amsterdam (Willemspark)        ,"                €3,650 per month            ",100 m²,3 rooms,Peter Bruin Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/peter-bruin-makelaardij
Apartment Van Walbeeckstraat,            1058 CT Amsterdam (Westindische Buurt)        ,"                €2,650 per month            ",85 m²,3 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
Apartment Van Walbeeckstraat,            1058 CV Amsterdam (Westindische Buurt)        ,"                €1,950 per month            ",60 m²,3 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
Apartment Fred. Roeskestraat 88 A 8,            1076 ED Amsterdam (Zuidas)        ,"                €2,280 per month            ",92 m²,3 rooms,Grand Relocation ,https://www.pararius.com/real-estate-agents/amsterdam/grand-relocation
Apartment Bilderdijkkade,            1053 VA Amsterdam (Da Costabuurt)        ,"                €1,800 per month            ",57 m²,2 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Faas Wilkesstraat,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,395 per month            ",51 m²,2 rooms,Lemoo ,https://www.pararius.com/real-estate-agents/utrecht/lemoo
Apartment Pieter Cornelisz. Hooftstraat 192,            1071 CH Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",95 m²,3 rooms,De Graaf & Groot Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/de-graaf-groot-makelaars
Apartment Haarlemmerweg,            1051 LE Amsterdam (Staatsliedenbuurt)        ,"                €1,700 per month            ",42 m²,2 rooms,The Dutch Realty ,https://www.pararius.com/real-estate-agents/amsterdam/the-dutch-realty
Apartment Van Baerlestraat 120,            1071 BD Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",70 m²,3 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Nieuwe Prinsengracht,            1018 VV Amsterdam (Weesperbuurt/Plantage)        ,"                €2,950 per month            ",114 m²,4 rooms,The Rental Agency Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/the-rental-agency-amsterdam
Apartment Weesperzijde 6 3,            1091 EA Amsterdam (Weesperzijde)        ,"                €2,600 per month            ",92 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Churchill-laan,            1078 EC Amsterdam (Scheldebuurt)        ,"                €3,600 per month            ",97 m²,4 rooms,I-housing ,https://www.pararius.com/real-estate-agents/amsterdam/i-housing
Apartment Weesperzijde,            1091 EJ Amsterdam (Weesperzijde)        ,"                €1,850 per month            ",59 m²,2 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Scheldestraat 46 I,            1078 GM Amsterdam (Scheldebuurt)        ,"                €1,825 per month            ",58 m²,3 rooms,BrinkBorgh Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/brinkborgh-makelaardij
Apartment Van Nijenrodeweg,            1082 JJ Amsterdam (Buitenveldert-West)        ,"                €1,580 per month            ",35 m²,2 rooms,Orange Wonen ,https://www.pararius.com/real-estate-agents/wormerveer/orange-wonen
Apartment Wouwermanstraat,            1071 LX Amsterdam (Museumkwartier)        ,"                €6,900 per month            ",241 m²,8 rooms,BIC Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/bic-makelaardij
Apartment Kerkstraat 127 B,            1017 GE Amsterdam (Grachtengordel-Zuid)        ,"                €2,400 per month            ",84 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Kleiburg 8 C,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",79 m²,3 rooms,Hoen Vastgoedbeheer ,https://www.pararius.com/real-estate-agents/amsterdam/hoen-vastgoedbeheer
Apartment Burgemeester Hogguerstraat,            1064 ED Amsterdam (Slotermeer-Zuidwest)        ,"                €1,500 per month            ",50 m²,2 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
Apartment Stadionweg 90 3,            1077 SR Amsterdam (Apollobuurt)        ,"                €2,900 per month            ",107 m²,4 rooms,Amsterdam Housing ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-housing
Apartment Plantage Muidergracht,            1018 TS Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",50 m²,2 rooms,Marktpand ,https://www.pararius.com/real-estate-agents/utrecht/marktpand
Apartment Keizersgracht 642 B,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",122 m²,2 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Cliostraat 10,            1077 KG Amsterdam (Apollobuurt)        ,"                €2,200 per month            ",108 m²,3 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment Govert Flinckstraat 113 2A1,            1072 EG Amsterdam (Oude Pijp)        ,"                €1,528 per month            ",35 m²,2 rooms,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
Apartment De Lairessestraat 152 1,            1075 HL Amsterdam (Willemspark)        ,"                €7,000 per month            ",284 m²,7 rooms,Haagen & Partners ,https://www.pararius.com/real-estate-agents/amsterdam/haagen-partners
House Eurokade,            1060 RZ Amsterdam (Middelveldsche Akerpolder)        ,"                €2,750 per month            ",145 m²,5 rooms,ME Makelaars BV ,https://www.pararius.com/real-estate-agents/amsterdam/me-makelaars-bv
Apartment Churchill-laan 282 2,            1078 GB Amsterdam (Scheldebuurt)        ,"                €2,500 per month            ",95 m²,4 rooms,Van Huis Uit Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/van-huis-uit-makelaars
Apartment 1e Kekerstraat 169,"            1104 VA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,500 per month            ",100 m²,3 rooms,Linger OG ,https://www.pararius.com/real-estate-agents/amsterdam/linger-og
Apartment Wanningstraat,            1071 LA Amsterdam (Museumkwartier)        ,"                €2,850 per month            ",160 m²,4 rooms,Draijer Makelaardij & Vastgoedbeheer ,https://www.pararius.com/real-estate-agents/amsterdam/draijer-makelaardij-vastgoedbeheer
Apartment Eerste Boerhaavestraat,            1091 RZ Amsterdam (Weesperzijde)        ,"                €1,950 per month            ",50 m²,1 room,Housing Experts ,https://www.pararius.com/real-estate-agents/amsterdam/housing-experts
Apartment Gillis van Ledenberchstraat,            1052 TV Amsterdam (Frederik Hendrikbuurt)        ,"                €2,350 per month            ",85 m²,3 rooms,Hendriks Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hendriks-housing
Apartment Van Heenvlietlaan 190,            1083 CM Amsterdam (Buitenveldert-Oost)        ,"                €2,500 per month            ",117 m²,4 rooms,Pro Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/pro-real-estate
Apartment Professor J.H. Gunningstraat,            1068 MS Amsterdam (Osdorp-Oost)        ,"                €2,250 per month            ",111 m²,4 rooms,City Homes ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-city-homes
Apartment Eerste Van Swindenstraat 76 E,            1093 GH Amsterdam (Dapperbuurt)        ,"                €1,900 per month            ",54 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 F,            1093 GH Amsterdam (Dapperbuurt)        ,"                €1,700 per month            ",48 m²,2 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 N,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",70 m²,4 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 P,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",72 m²,4 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Eerste Van Swindenstraat 76 G,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",67 m²,3 rooms,Vastgoed Unie Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/vastgoed-unie-makelaardij
Apartment Faas Wilkesstraat,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,100 per month            ",87 m²,3 rooms,Lens Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/lens-real-estate
Apartment Overamstelstraat,            1091 TM Amsterdam (Weesperzijde)        ,"                €2,650 per month            ",103 m²,4 rooms,123Wonen Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/123wonen-amsterdam
Apartment Badhuiskade 319,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,600 per month            ",80 m²,3 rooms,Broersma Makelaardij ,https://www.pararius.com/real-estate-agents/amsterdam/broersma-makelaardij
Apartment Nieuwe Kerkstraat 112 O,            1018 VM Amsterdam (Weesperbuurt/Plantage)        ,"                €3,400 per month            ",110 m²,4 rooms,Grand Relocation ,https://www.pararius.com/real-estate-agents/amsterdam/grand-relocation
Apartment Ceintuurbaan 231 1,            1074 CW Amsterdam (Oude Pijp)        ,"                €2,950 per month            ",93 m²,3 rooms,Amsterdam Beautiful Property Rental ,https://www.pararius.com/real-estate-agents/amsterdam/amsterdam-beautiful-property-rental
Apartment Rozengracht,            1016 ND Amsterdam (Jordaan)        ,"                €2,100 per month            ",77 m²,2 rooms,Keizerskroon makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/keizerskroon-makelaars-2
Apartment Spaarndammerdijk,            1013 ZW Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,600 per month            ",65 m²,2 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Rooseveltlaan,            1079 AB Amsterdam (Scheldebuurt)        ,"                €2,450 per month            ",110 m²,4 rooms,Hausing ,https://www.pararius.com/real-estate-agents/amsterdam/hausing
Apartment Linnaeusparkweg 82 I,            1098 EH Amsterdam (Middenmeer)        ,"                €2,900 per month            ",123 m²,4 rooms,De Heren van Snoek Makelaardij v.o.f. ,https://www.pararius.com/real-estate-agents/amsterdam/de-heren-van-snoek-makelaardij-v-o-f
Apartment Bronckhorststraat,            1071 WS Amsterdam (Museumkwartier)        ,"                €2,150 per month            ",88 m²,3 rooms,Rotsvast Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/rotsvast-amsterdam
Apartment Joos Banckersplantsoen 2,            1056 LC Amsterdam (Landlust)        ,"                €1,675 per month            ",100 m²,2 rooms,Openkoop Makelaardij ,https://www.pararius.com/real-estate-agents/baarn/openkoop-makelaardij
Apartment Oosteinde,            1017 WT Amsterdam (De Weteringschans)        ,"                €3,950 per month            ",138 m²,6 rooms,Vondel Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/vondel-makelaars
Apartment Honingen 28,            1083 JP Amsterdam (Buitenveldert-Oost)        ,"                €1,850 per month            ",86 m²,3 rooms,Renthouse Vastgoed ,https://www.pararius.com/real-estate-agents/amsterdam/renthouse-vastgoed
Apartment Govert Flinckstraat,            1072 ED Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",48 m²,2 rooms,Koops Makelaardij Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/koops-makelaardij-amsterdam-2
Apartment Westerstraat 91 1,            1015 LX Amsterdam (Jordaan)        ,"                €1,750 per month            ",44 m²,2 rooms,The Tenants Group ,https://www.pararius.com/real-estate-agents/amsterdam/the-tenants-group
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,150 per month            ",90 m²,3 rooms,Skyreach Stay ,https://www.pararius.com/real-estate-agents/amsterdam/skyreach-stay
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,050 per month            ",90 m²,3 rooms,Skyreach Stay ,https://www.pararius.com/real-estate-agents/amsterdam/skyreach-stay
Apartment Marie Heinekenplein 109,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,250 per month            ",78 m²,3 rooms,Yourhome Makelaars ,https://www.pararius.com/real-estate-agents/amsterdam/yourhome-makelaars
House Ouderkerkerdijk,            1096 CR Amsterdam (Omval/Overamstel)        ,"                €7,500 per month            ",200 m²,6 rooms,First Class Housing ,https://www.pararius.com/real-estate-agents/amstelveen/first-class-housing
Apartment Henrick de Keijserstraat 22 2,            1073 TH Amsterdam (Nieuwe Pijp)        ,"                €1,850 per month            ",48 m²,1 room,H.C.A ,https://www.pararius.com/real-estate-agents/utrecht/h-c-a
House Fred Petterbaan,            1019 JT Amsterdam (Oostelijk Havengebied)        ,"                €4,500 per month            ",175 m²,5 rooms,WSM Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/wsm-real-estate
Studio Johan van der Keukenstraat 87 D,            1087 BC Amsterdam (IJburg West)        ,"                €1,300 per month            ",47 m²,1 room,ViaDaan ,https://www.pararius.com/real-estate-agents/eindhoven/viadaan-nijmegen
House Weesperzijde,            1091 EL Amsterdam (Weesperzijde)        ,"                €4,950 per month            ",200 m²,6 rooms,Urban Homies ,https://www.pararius.com/real-estate-agents/amsterdam/urban-homies
